Astronomical	AustralianPostCode	0.2609130526581876	0.19803659285140185	0.0	0.0	0.0	0.0917899291019179
Astronomical	BibleWebservice	0.23934417445128056	0.23831802465814161	0.18181818181818182	0.13333333333333333	0.0	0.1585627428521875
Astronomical	ConverPower	0.3063217787615417	0.3700694170950317	1.0	1.0	1.0	0.7352782391713146
Astronomical	ConvertAcceleration	0.32287751685023053	0.36652617096716567	1.0	1.0	1.0	0.7378807375634793
ConverPower	ConvertAcceleration	0.4129717615147249	0.31183623258006726	1.0	1.0	1.0	0.7449615988189584
Astronomical	ConvertAngle	0.3161924909034819	0.38412277093714253	1.0	1.0	1.0	0.7400630523681249
ConverPower	ConvertAngle	0.4270787687950443	0.31874130411063056	1.0	1.0	1.0	0.7491640145811349
ConvertAcceleration	ConvertAngle	0.4155520930895094	0.4555259052472561	1.0	1.0	1.0	0.7742155996673532
Astronomical	ConvertArea	0.2970248409476432	0.25496228852295266	1.0	1.0	1.0	0.7103974258941192
ConverPower	ConvertArea	0.4712245064858949	0.3019126357074324	1.0	1.0	1.0	0.7546274284386654
ConvertAcceleration	ConvertArea	0.40285149855668234	0.30474688715576387	1.0	1.0	1.0	0.7415196771424892
ConvertAngle	ConvertArea	0.4170114311908928	0.32018305215307635	1.0	1.0	1.0	0.7474388966687939
Astronomical	ConvertComputer	0.31912289102201635	0.3217561781624281	1.0	1.0	1.0	0.7281758138368888
ConverPower	ConvertComputer	0.5119879467951354	0.4067680848554081	1.0	1.0	1.0	0.7837512063301086
ConvertAcceleration	ConvertComputer	0.43238774782100425	0.38572111606231596	1.0	1.0	1.0	0.7636217727766641
ConvertAngle	ConvertComputer	0.44110491939875435	0.37018787126431885	1.0	1.0	1.0	0.7622585581326147
ConvertArea	ConvertComputer	0.43512187897568044	0.535002616069862	1.0	1.0	1.0	0.7940248990091086
Astronomical	ConvertCooking	0.2515008821644526	0.35020013131956584	1.0	1.0	1.0	0.7203402026968038
ConverPower	ConvertCooking	0.3123507563761725	0.2508950289138688	1.0	1.0	1.0	0.7126491570580082
ConvertAcceleration	ConvertCooking	0.30596705016744746	0.2963750616334624	1.0	1.0	1.0	0.720468422360182
ConvertAngle	ConvertCooking	0.28316843343441866	0.3023263662185274	1.0	1.0	1.0	0.7170989599305893
ConvertArea	ConvertCooking	0.29252487672023425	0.45488256627692425	1.0	1.0	1.0	0.7494814885994316
ConvertComputer	ConvertCooking	0.31336370612770653	0.32039011766854986	1.0	1.0	1.0	0.7267507647592513
Astronomical	ConvertDensity	0.33980705019542556	0.4146701153857959	1.0	1.0	1.0	0.7508954331162443
ConverPower	ConvertDensity	0.4152055736009164	0.31150045278741656	1.0	1.0	1.0	0.7453412052776667
ConvertAcceleration	ConvertDensity	0.42559841445902846	0.48859113466904724	1.0	1.0	1.0	0.7828379098256151
ConvertAngle	ConvertDensity	0.41971768898091477	0.4611665077270412	1.0	1.0	1.0	0.7761768393415913
ConvertArea	ConvertDensity	0.3839568500750288	0.514034450476896	1.0	1.0	1.0	0.779598260110385
ConvertComputer	ConvertDensity	0.4227326228231104	0.38072997337757647	1.0	1.0	1.0	0.7606925192401375
